id_web;product_id
15298;3847
15296;3849
15300;3850
19814;4032
19815;4039
15303;4040
14975;4041
16042;4042
14980;4043
16041;4045
15269;4046
14977;4047
16044;4048
16043;4049
16449;4050
16045;4051
16030;4052
13127;4053
19816;4054
;4055
16029;4056
16039;4057
16318;4058
16275;4059
16498;4060
16320;4062
16319;4063
15966;4064
15022;4065
15967;4066
15490;4067
16416;4068
11862;4069
15444;4070
15953;4071
12045;4072
13074;4073
15941;4074
16069;4075
13072;4076
15440;4077
13435;4078
13078;4079
13117;4081
16296;4083
16014;4084
16462;4085
16013;4086
16180;4087
